,tradeDate,closeIndex,turnoverValue
137,2005-08-01,891.61,5451576867.0
138,2005-08-02,903.6,6441958706.0
139,2005-08-03,909.57,11911777040.0
140,2005-08-04,904.15,6682690057.0
141,2005-08-05,923.8,9585685726.0
142,2005-08-08,927.47,11135756693.0
143,2005-08-09,933.09,9704541246.0
144,2005-08-10,940.37,10214864206.0
145,2005-08-11,953.99,14042061872.0
146,2005-08-12,938.32,14457553256.0
147,2005-08-15,954.5,10503460782.0
148,2005-08-16,945.06,12606079730.0
149,2005-08-17,953.01,10910460911.0
150,2005-08-18,920.67,15916423709.0
151,2005-08-19,923.04,10881501177.0
152,2005-08-22,931.67,7745835021.0
153,2005-08-23,923.41,7508824639.0
154,2005-08-24,930.65,7736512283.0
155,2005-08-25,930.12,7604864624.0
156,2005-08-26,928.26,7186198527.0
157,2005-08-29,917.37,7137708170.0
158,2005-08-30,914.88,5858436210.0
159,2005-08-31,927.92,7034282250.0
160,2005-09-01,944.56,10558677965.0
161,2005-09-02,947.87,8864773608.0
162,2005-09-05,952.72,8242226133.0
163,2005-09-06,936.61,10583985179.0
164,2005-09-07,952.76,9956808193.0
165,2005-09-08,955.28,11753260243.0
166,2005-09-09,949.07,7924193974.0
167,2005-09-12,949.51,5610130326.0
168,2005-09-13,963.77,7999031246.0
169,2005-09-14,970.19,9942627972.0
170,2005-09-15,969.6,8098160518.0
171,2005-09-16,967.5,6989327513.0
172,2005-09-19,971.14,7427481654.0
173,2005-09-20,961.92,9189438331.0
174,2005-09-21,944.41,8760459022.0
175,2005-09-22,923.27,8625589892.0
176,2005-09-23,916.15,5549882042.0
177,2005-09-26,918.49,4398425669.0
178,2005-09-27,904.21,5576097392.0
179,2005-09-28,903.72,4331475905.0
180,2005-09-29,915.98,5798238295.0
181,2005-09-30,917.39,4529466676.0
182,2005-10-10,907.32,3665624376.0
183,2005-10-11,919.72,4032539378.0
184,2005-10-12,923.49,6653231000.0
185,2005-10-13,916.5,6021814326.0
186,2005-10-14,904.83,5568049025.0
